query_time,message,like_count
1/6/2021 16:56,Air Selangor has released the list of affected area. The duration of the water disruption is still unknown. These are the affected areas under the Petaling District. For the full list: https://www.airselangor.com/press-release/gangguan-bekalan-air-tidak-berjadual-di-7-wilayah-bermula-jam-600-petang-hari-ini-berikutan-pencemaran-sumber-air-mentah,
1/6/2021 16:58,"When Bajet 2021 deliberated lingers around Covid-19 prevention, EPF 10k, Moratorium, we can't see budget to overcome this problem. Oh this is caused by the kilang haram but tak berapa haram? We don't know. Maybe can tell your fellow Dun in Selangor that is now the MB, what can be done, as this is the blind spot unfolded by MPs and DUNs member 💆‍♂️",6
1/6/2021 16:58,"Some heads within Air Selangor must roll, start with the CEO!!",3
1/6/2021 16:58,See.... You idiots spend more time on worrying about Najib instead of doing your own job. That's how useless you are. So obsessed with the former PM that you can't sleep without talking about him. Tapi Selangor takde air. Podah!,1
1/6/2021 16:58,"Who knows, ""Accidents"" need to be created to get Ani Aroff of TNB resign so that the new guy can sign a lop-sided power purchase agreement from IPP who are cronies of politicians of the day.   Looks like the same script is repeated for Air Selangor..",5
1/6/2021 16:58,"Its AA kpi to take back selangor, be careful of this snake.",4
1/6/2021 16:58,"PH,PN,BN, all could not even resolve this problem...politicians are all the same....they only care about their own pockets...",34
1/6/2021 16:58,Is this going to be our daily issue? This is 2020. We don't Yb to tell what happen? Tunggu dana? Tunggu lapuran... Semua di hujung jari dapat info... Catch the culprit & book him to the max penalty if possible just shoot them like in China. No time wasted. No lawyer service needed.,0
1/6/2021 16:58,Having meetings to do what... don’t waste monies. Best is to resolve it,2
1/6/2021 16:58,"I will still support PH. I do know that this is F. Govt (UMNO) playing very, very dirty with no real concern for the rakyat.  It is very frustrating but I pray that God please mete out justice for the rakyat.",22
1/6/2021 16:58,Look like we hv to buy water from Singapore next in order to hv no water disruption. can we do that??,2
1/6/2021 16:58,YB please..make sure PKR handle issue water than only you all can think to be our Goverment.. One ussue lso cannot settle how can you all be a leader...,3
1/6/2021 16:58,MP doing the job of a website. May be try fixing it rather than sharing information which everyone already know?,1
1/6/2021 16:58,There you go 12 yrs under you guys and never ending water disruptions... and now few days before deepavali.. and it's crucial time we would be preparing assorted muruku and sweets to usher the festival of lights... how sadly for our indian community ..,3
1/6/2021 16:58,"YB, water source for USJ3 is from Semenyih Dam, but is mentioned on page 6 of lampiran.  Could there be an error?",0
1/6/2021 16:58,"Bring this never ending water disruption issue to the Parliament and press for HIGHER WATER FILTRATION TECHNOLOGY to curb this headache of Rakyat Malaysia!  And tell off the LAW MINISTER, this type criminal must impose mandatory to hang anyone that cause the water contamination at ALL WATER TREATMENT PLANTS!",8
1/6/2021 16:58,Why you just notify us the areas....do sthglah ...its becoming a norm ...don't just konon2 aktive in parliment but isu air yg menjadi2 tak de ape,4
1/6/2021 16:58,"With PKP, and water distruptions.  Some people who have started thinking this country is a shithole is probably right at this point.   Can't share ideas, can't change governments, can't even bathe like normal.   👏🏽",2
1/6/2021 16:58,Maybe they (termasuk kilang2 haram) are the biggest sponsor of PH for PRU. Sebab tu nothing is done until today.,1
1/6/2021 16:58,"Wong Chen, please resign. Because that's what you would demand of an MP from the other side.",1
1/6/2021 16:58,I would like to request all the Executive Director of Air Selangor submit their resignation immediately.,84
1/6/2021 16:58,Why so incompetent?  Why never learn? Why so 3rd world?,2
1/6/2021 16:58,Seriously ! how much more must the people suffer from these nonsense ,2
1/6/2021 16:58,Selagi assmin Tak dapat selangor selagi tu akan ada sabotaging from his kunco2. Assmin sudah rampas negara now dia nak rampas selangor. Sejak pn take over the country melalui tebuk atap macam hal berlaku!,3
1/6/2021 16:58,And Selangor is still the most developed state?! My toes are laughing!,3
1/6/2021 16:58,"Mr Wong,  don't tell us something which we already know. Tell us what you have done as an elected representative to ensure that this type of inconveniences do not happen to the consumers again. I have never seen such level of incompetence among the non-Pakatan Harapan Government. It is no wonder that PH is losing its supporters quick!",1
1/6/2021 16:58,,
1/6/2021 16:58,Is this going to be our daily issue? This is 2020. We don't Yb to tell what happen? Tunggu dana? Tunggu lapuran... Semua di hujung jari dapat info... Catch the culprit & book him to the max penalty if possible just shoot them like in China. No time wasted. No lawyer service needed.,0
1/6/2021 16:58,"Is this our defination of being the most developed state in the country? Kita Dah Capai Taraf Antarabangsa? I don't think Singapore, New South Wales, Victoria, North Hong Kong, Guangzhou, hebei experience this!",0
1/6/2021 16:58,Is there a possibility of sabotage?,1
1/6/2021 16:58,Maybe they (termasuk kilang2 haram) are the biggest sponsor of PH for PRU. Sebab tu nothing is done until today.,1
1/6/2021 16:58,"Can you YB all put a stop on this kind of madness? Can’t even take care of rivers as source of living and survival, how to govern the country?",0
1/6/2021 16:58,Human problem ,1
1/6/2021 16:58,What again?  During this period of Emco this should not happen.,1
1/6/2021 16:58,"YB, water source for USJ3 is from Semenyih Dam, but is mentioned on page 6 of lampiran.  Could there be an error?",0
1/6/2021 16:58,Never happen in the past during PH.. TIME NOW SEEM the country getting worst...,0
1/6/2021 16:58,Selagi assmin Tak dapat selangor selagi tu akan ada sabotaging from his kunco2. Assmin sudah rampas negara now dia nak rampas selangor. Sejak pn take over the country melalui tebuk atap macam hal berlaku!,3
1/6/2021 16:58,Again no water? OMG! Please learn from Singapore please,1
1/6/2021 16:58,IWK the culprit? next 1 year can stop paying IWK bills?,0
1/6/2021 16:58,"New Sgor slogan ""AIR TIADA""now everyone can cry.",1
1/6/2021 16:58,"Is too often, collecting water break my back",0
1/6/2021 16:58,With cv19u need to wash frequently and now without water worst.,0
1/6/2021 16:58,"The USJ area write until very detailed which road got water disruption, but in the list dont have USJ 6 but my house kena?",0
1/6/2021 16:58,Having meetings to do what... don’t waste monies. Best is to resolve it,2
1/6/2021 16:58,No criticism yb ?,0
1/6/2021 16:58,Why not include cyber surveillance under budget ,0
1/6/2021 16:58,Why so often. One after another. Sgor is not Sabah.,0
