created_time,message
12/10/2020 11:55,"We are delighted to announce that Air Selangor was highly commended at the Global Water Awards 2020 in the Public Water Agency of the Year category. This prestigious recognition is for our excellent achievement in delivering clean and safe treated water to our consumers in Selangor, Kuala Lumpur and Putrajaya.   We thank you for your continuous support and will continue to strive in giving you the best customer experience.   #AirSelangor #GlobalWaterAwards #GWACelebrationDay2020 #GlobalWaterAwards2020HighlyCommended"
12/11/2020 14:25,"Congratulations ! However, please kindly look into the water pollution matters with respective authorities as it becomes a very frequent problems with water cut every now and than. It's important that this should be the priority. Thank you"
12/10/2020 13:14,Congratulations Air Selangor! With all the effort you put in for us. Well deserved. Our safety has been assured. You have our support!!
12/10/2020 14:18,"Congratulations Air Selangor! You surely deserved it, especially for taking fast action in keeping the public safe from harmful and polluted water. Good job 🥰"
12/12/2020 11:41,"Hi Air Selangor, congratulations for awarded best water quality! But it does not bring any meaning if our water pipes has no water and we can't enjoy it. Serve the nation. Thx."
12/10/2020 13:17,you must be joking! though crisis management has improved tremendously. Thank you to all the frontline technician who ensures we get water as soon as possible during monthly water cut event in Selangor. 
12/10/2020 17:09,Its safe when you deliver less water... more water cuts please! Thanks! And Congrats!
12/10/2020 18:47,"Water is very brownish in taman seri Manja area. For quite sometime already. Pathetic service. Air Selangor please check the piping as, could be rusted. "
12/12/2020 4:26,congratulations air selangor.. good job 👏🏻👏🏻
12/10/2020 13:25,Thank you for doing the best for us! We know we can count on you to keep us safe. the award is rightfully deserved 👏👏👏
12/10/2020 12:06,Its the hilarious joke of the year.Air Selangor can be awarded even with monthly water cut for whole of 2020. 
12/10/2020 14:13,Despite all adversity n all the best. Thank you
12/10/2020 13:40,Wow! Congrats on the awards! Cant wait for more. You guys deserves this!
12/10/2020 12:10,"Achievement my as*. Pardon my language, but I insist. Hope that can realisticly potray my frustation and how disgusted i am, in fact most of us in Klang Valley. Thats a fact.   Wak. "
12/10/2020 14:13,"Must be globally no one read our local news or this is like in kindergarten where every kids gets a participation award 🙄 Btw, when is the next water cut? Couple of holidays and festivals are coming, kindly time on that day. We will endure the sufferings! "
12/10/2020 20:57,"semua org speaking..biar sy ckp malay la..haha..  tahniah air selangor. terima kasih diatas usaha kalian untuk memberi perkhidmatan yang terbaik pada kami semua..Yakni rakyat selangor..Air yang bersih dan nyaman..Terima kasih atas kepantasan kalian..Dan terima kasih kerana telah usaha keras untuk cek air..dan bau air pada tiap bulan..kami amat menghargainya..  yang benar,  icomel"
12/10/2020 21:51,Congratulations! Please continously provide clean and safe water for  Selangor.
12/10/2020 13:49,Tahniah.. Air Selangor
12/10/2020 11:59,Syok sendiri nampak.
12/10/2020 12:12,the monthly crisis management has made this agency consistent!  Congratulations Air Selangor
12/10/2020 14:39,Well done ‼️
12/11/2020 12:59,"Better change ur wording la, Air Selangor. Your post made it seems like you won the award. The award was actually won by NWC, Saudi Arabia. Air Selangor did get shortlisted with a few other public water agency."
12/10/2020 12:23,Are they aware of the constant pollution incidents that you are unable to manage?
12/11/2020 16:37,Joke of the year 2020 before it ends.. As a sole public water supplier in klang valley.. Your efficiency in your crisis management is highly questionable and in doubt!
12/10/2020 12:12,"Oh my gawd! What was the criteria for this category, I wonder.   Ok Raja Amirul Raja Nasron, go! Pfftttt. "
12/10/2020 15:10,What more can I say except “congratulations”?
,
12/10/2020 13:17,you must be joking! though crisis management has improved tremendously. Thank you to all the frontline technician who ensures we get water as soon as possible during monthly water cut event in Selangor. 
12/10/2020 12:12,the monthly crisis management has made this agency consistent!  Congratulations Air Selangor
12/10/2020 11:59,Syok sendiri nampak.
12/10/2020 17:09,Its safe when you deliver less water... more water cuts please! Thanks! And Congrats!
12/10/2020 14:13,"Must be globally no one read our local news or this is like in kindergarten where every kids gets a participation award 🙄 Btw, when is the next water cut? Couple of holidays and festivals are coming, kindly time on that day. We will endure the sufferings! "
12/10/2020 11:58,Masuk baldi angkat sendiri 😏
12/10/2020 12:08,Awards for Water Disruption of the year In Selangor... Please get us a schedule for 2021 Water Disruption... Thank you...
12/10/2020 11:58,is this a self evaluation thing? 
12/10/2020 14:12,"Was the award given or bought? Millions of people suffer every month without fail due to water cuts, and you are receiving an award? You should be ashamed to receive it."
12/10/2020 12:07,We appreciate your service but can u help me to pay for my additional water tank which i have to prepare for when ur excellent service being so frequently disrupted.
12/10/2020 12:23,Are they aware of the constant pollution incidents that you are unable to manage?
12/12/2020 11:41,"Hi Air Selangor, congratulations for awarded best water quality! But it does not bring any meaning if our water pipes has no water and we can't enjoy it. Serve the nation. Thx."
12/10/2020 12:07,Delivering clean and safe treated water ... there’s some words missing - Consistent and continuous supply of clean and safe treated water. Please work harder. 
12/10/2020 12:12,"Award nie pasal water disruption every month?? The worst service for public ever, still can boast about your lousy service being awarded!!!! Hopeless and useless just like your service....."
12/10/2020 12:44,Must be in accordance with Joke Of The Year Awards 2020 
12/11/2020 12:59,"Better change ur wording la, Air Selangor. Your post made it seems like you won the award. The award was actually won by NWC, Saudi Arabia. Air Selangor did get shortlisted with a few other public water agency."
12/11/2020 16:37,Joke of the year 2020 before it ends.. As a sole public water supplier in klang valley.. Your efficiency in your crisis management is highly questionable and in doubt!
12/10/2020 12:11,"Ladies and gentlemen, “The Joke of the Year” came in just in time before the New Year!"
12/10/2020 12:19,"Aiyo, this kind of news don't share on FB la.....you only invite all those who suffered fm your bi-weekly water cuts  to flood the comments with 'congratulatory' messages."
12/10/2020 15:10,What more can I say except “congratulations”?
12/10/2020 12:07,🤣🤣..syok sendiri award.. Bolehlah buat unscheduled water interruptions banyak2..boleh dpt award lg..
12/10/2020 12:02,You paid for this award or what? Or the fellas who polluted our rivers were on the board of judges??
12/10/2020 12:12,"Oh my gawd! What was the criteria for this category, I wonder.   Ok Raja Amirul Raja Nasron, go! Pfftttt. "
12/10/2020 12:09,"Hurm..x malu ke..cuba renung kan balik perkataan henti tugas yg 10 juta kali setahun tu..simpan la,xde makna pun award ni.."
12/10/2020 12:03,Banjir pun takde air. Anugerah ni beli ke camne?
,
12/10/2020 12:10,Minta jadual penutupan air untuk januari.boleh x?
12/10/2020 12:16,Congrat. U achiveve your KPI to have at least one water cut per month.
12/10/2020 14:37,Achievement for water cut every month during cmco???
12/10/2020 12:35,Judge panel for the award probably not staying in/from Selangor
12/10/2020 12:17,"Hmm how is it being judged? More water pollution, more cleaning so you all did good job in cleaning and safe treat water ???? I think not best time to boost about your award cos we all damn angry, how come no control and punitive punishment?? I don't see other states having so much of this problems"
12/10/2020 12:18,"  Air Selangor Have you no shame at all? Your skin so thick? Are you so disconnected from the real world, that in your own world and echo chamber, you keep saying, keep thinking you're the best? "
12/10/2020 13:21,"Please work closely with the Ministry of Energy and Natural Resources or whichever ministry in charge of taking care of rivers and water sources to ensure rivers are protected and made clear instead of murky colours like Nescafé tarik or teh tarik. Better, build filtration systems at water intake point so that the treatment plants are less exposed to contaminants from the river."
12/10/2020 12:07,This is etf. Is that only one party join the contest? My grandma water'well provide better and consistent water than yours
12/10/2020 12:38,Joke. Every month without fail having water problem. There is where u stand out among other states water provider
12/10/2020 12:07,People make laugh of your so called 'achievement'. Remember that the power of Selangor citizens will determine your success. I don't know how much Air Selangor pay for this 'success' to the organiser Global Water Intelligence (GWI)
12/10/2020 12:08,Award of “times” water disruption among the month for the whole year.. 🎉 may be not just global award 👍🏿 keep it up. No one can compete with you
12/11/2020 15:35,"Wrong spelling there... Global water 'cut' award 😅  But still a good job though, Air Selangor cut water to ensure we do not consume polluted water, keeping us using clean and safe water, keep it on 👍"
12/10/2020 12:00,Selagi ada kilang haram tepi sungai selagi itu lah nama Air Selangor tidak akan bersih
12/10/2020 13:25,One of the criteria should be supply disruptions index
12/10/2020 12:02,"Based on ur performances this year..i dun think u deserves this award..""excellent achievement in delivering safe and clean water to ur consumer""...r u kidding me??"
