message,created_time
I have a friend in Malaysia with a budding career that may be influenced by the CCP. I understand the exigency of any pro-Xi/CCP remarks they make. I will excuse Nigel Ng for this as well.,1/14/2021 10:33
"Henry Whelchel There are certain truth one may not understand in life ! I have been ""influenced"" and ""brainwashed"" by western values almost 40+ years ago for about 30 years ! I have already woken up, when will you ??",1/14/2021 11:06
Henry Whelchel Rubbish. He knows BBC is fake news,1/14/2021 11:50
you are cia?,1/14/2021 12:32
Henry Whelchel so weak ,1/14/2021 14:46
Tom Choi so weak ,1/14/2021 14:46
Tang Chen so weak ,1/14/2021 14:47
Samnang Laor so adorable,1/14/2021 18:22
^^^Haiyaa^^^,1/14/2021 23:16
"What people forget is that there are actually agents of the cpc/communist party whose role is to follow Asian celebrities and troll/express anger at any ""anti-chinese""/anti-party content. They make it seem that the ""Chinese fans"" are mad.  (yes there are a portion of Chinese fans that may be die hard supporters of the Party and actually get mad at political speak, I've met them, but there are a lot of state sponsored troll agents online).",1/14/2021 10:45
Indeed! 50 cent party members,1/15/2021 0:25
He's pandering to China and I've no interest in following him again. ,1/14/2021 10:44
Gk ngurus tol,1/14/2021 11:20
"Nihao's It Going? 台味ㄉ愛爾蘭人 yeah, he’s so weak. that’s why auntie helen left 😂",1/14/2021 14:48
Nihao's It Going? 台味ㄉ愛爾蘭人 his jokes so weak n lacks flavour.... that’s why he needs MSG,1/14/2021 17:28
How would Chinese fans even watch the video unless they are using a VPN? Which would leave them vulnerable to being arrested. And not to mention using a vpn is an act of rebellion against the CCP regime anyway. If he means Chinese fans in Hong Kong and Taiwan then they are hardly going to be angry about criticising the extreme brutality of the Chinese government ,1/14/2021 17:05
Alex Heron a having a vpn is considered rebellion? Tffff ,1/14/2021 23:53
"Alessandro Devoto yes of course, it’s impossible to access the internet outside of chinese government censored internal internet platforms. All western/ external news outlets, google and social media is blocked by the government and is illegal to access. Hence why using a vpn would be the only way for anyone in mainland China to watch YouTube, which would be illegal",1/15/2021 2:19
Alex Heron because some 50 million chinese people live outside china.,1/15/2021 4:12
"Yeah in the US they just don't allow anyone critical into the media at all, much more effective",1/14/2021 9:47
Jesse McGean This is sarcasm surely?!?  Have you seen how critical American talk shows are of Trump? It's literally all they've talked about for 4 years 🤣,1/14/2021 10:05
"It's not Trump who censors, it's the Democrats and their allies.  We wonder what they will do without him",1/14/2021 11:56
Janine Shamshoian Economides and yet fox news still exists? ,1/14/2021 13:07
amazing isn't it,1/14/2021 13:48
Janine Shamshoian Economides you utter clown ,1/14/2021 17:27
"No it's not, It's a habit of the right wing to act like they're the one's being persecuted, something that fox news does all the time.",1/14/2021 18:54
Robert Clampitt clearly they are it's plain for all to see. ,1/15/2021 2:07
"Jimmy Travis good, it'll be easy for you to give me some examples of right wingers being persecuted when not breaking the law/rules?",1/15/2021 9:25
"Personal safety is paramount, especially when you don’t know what it means; imprisonments, disappear and many things, not to mention families, friends and associates! ",1/14/2021 20:43
Pls ask China to compensate the world for causing the pandemic. That is more important.,1/14/2021 9:39
"Where the origin is doesn't change the fact that china covered it up until it's too late. China also seal the doors with steel bars, not like their people care much about their right/freedom anyway.",1/14/2021 9:59
Martin McDonnell China is the safest country to be in terms covid 19,1/14/2021 10:13
Martin McDonnell lol. Only a moron would believe in Chinese numbers.,1/14/2021 12:33
Martin McDonnell you seems to be a moron. Origin does not matter. It's the cover up that caused the pandemic.,1/14/2021 15:30
Martin McDonnell you believe China’s numbers?,1/14/2021 16:22
Kelvin J K Ng have u stayed in Wuhan uncle?  Have you ever smelled the aroma of burning bodies 24/7...? ,1/14/2021 22:19
Gary Chan lol. Only a moron like you would believe in Hong Kong independence,1/15/2021 9:55
That’s because uncle roger is smart and doesn’t like hard labour.. anyone bringing him down feel free to fly out there and make yourself heard 🤔,1/14/2021 9:55
Adam Booth yeah.....you first,1/14/2021 9:58
"You know he's based in the UK right? Obviously not, because they you'd know he's not in any danger.",1/14/2021 11:03
You know he's from Malaysia right which is not a southern province of China.,1/14/2021 11:07
Edric Koh he is a chinese descent and maybe got relatives in china that’s why he want to play safe. We chinese got relative in all over the world... very normal thing,1/14/2021 17:11
Probably just afraid of what they might do to him or his family; shouldn’t we all be?,1/14/2021 11:27
Peter DeMinico  do you know Malaysia is not part of China?,1/14/2021 13:19
"Romana Ong what’s your point? He criticized China, your comment is irrelevant. ",1/14/2021 13:22
Peter DeMinico He. Is . A. Malaysian. ,1/14/2021 13:23
Romana Ong China can’t hurt Malaysians? I think you need to inform yourself a little better before you continue with the silly comments.,1/14/2021 13:30
"Peter DeMinico please educate me on how CCP is to hurt a Malaysian based in UK, in such a way a Malaysian everywhere every corner of the world shall be afraid?   That they can’t even associate themselves to anyone who speak bad of China? As a Malaysian, shall I immediately kow tow to China now? Am I so poorly informed now that I didn’t even know I’m in grave danger of China’s reach? Oh how shall we escape, the great white one?",1/14/2021 14:26
"Romana Ong I don't have time. You're rude and need to learn some manners first. Also you are quite defensive of the CCP and have a profile as empty as your insults. ""The lady doth protest too much, methinks"" ",1/14/2021 14:32
Romana Ong peter took the pussy way out. what a buffoon 😂,1/14/2021 15:47
Peter DeMinico not everyone is a coward like you. If you cant speak up living in a free country might as well as move to North Korea,1/14/2021 17:06
"Peter DeMinico I’m rude on purpose, are you ignorant on purpose too?",1/14/2021 19:23
"CP Chan Jack Ma spoke up...now he's very very quiet..and he's living in a free society, Canada. Is he a coward? Maybe he doesn't want to go missing. You should probably point your finger at the CCP not those who are afraid of them. Just a thought.",1/14/2021 19:24
Peter DeMinico if you called put back it up don't chicken out 🤦🏽‍♂️🤦🏽‍♂️,1/15/2021 6:39
Rawiri Nutira don’t get too worked up. Cardiovascular disease is real. ,1/15/2021 7:09
Peter DeMinico oh how original 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️,1/15/2021 7:11
"Rawiri Nutira sshhh. Calm down bro. It’s for your own good. Deep breathes, maybe take a day off the internet. Feel better ",1/15/2021 7:13
Peter DeMinico oh and still got nothing for the person that called you out. Your all bark and no bite. Just like most the people on social media 🤣🤣🤣🤣,1/15/2021 7:14
Peter DeMinico yeah just as every thinks you got nothing. Hell I'm glad live in the US. Going by the so called intelligence you are showing 🤦🏽‍♂️,1/15/2021 7:23
"Raydan Martin he can't cause he's full of it, that's why he hasn't committed any further 🤣🤣🤣🤣",1/15/2021 7:24
"Peter DeMinico wait, Jack Ma lives in CANADA? Before or after his speech in Shanghai? Does Trudeau know this?",1/15/2021 7:43
"Romana Ong Jack Ma had been missing since November of last year, after speaking critically about CCP. Just a coincidence right? But you would know that because you are so knowledgeable. ",1/15/2021 8:01
Rawiri Nutira I explained everything even though a simple google search could have solved that. I’m not getting paid to educate you so please forgive me if I take a break. Best thing you can do is put the phone down and go for a walk. Hope you feel better soon. ,1/15/2021 8:12
"Peter DeMinico get the basic facts right- where does jack Ma lives?November or October?For the record, nobody is defending CCP here. This is about a spineless coward who self censored to please China and YOU are defending him. ",1/15/2021 8:15
Romana Ong so we agree to disagree. I think if people are afraid to speak against CCP I can understand and you think they are cowards. Hope you are still so brave if you ever find yourself in a similar situation. ,1/15/2021 8:22
"Peter DeMinico hope you gain more knowledge and intelligence if you ever find yourself arguing on the internet again. Or at least you know, learn how to google.",1/15/2021 8:31
"Rawiri Nutira ya, he’s full of it, explained everything but no time to ‘educate’. Gosh! Where does these ppl come from?!",1/15/2021 9:34
,
,
Self-censorship is the most insidious form of censorship.,1/14/2021 10:22
Haiyaaaaaaa....,1/14/2021 11:30
,
,
"All I can say is that I hate Falun Gong, and it's spread of lies about US politics through their BS Epoch Times platform...I think Nigel made the right choice to distance himself.",1/14/2021 20:16
,
,
"HKFP_Buzz: YouTuber Mike Chen has urged fellow comic Nigel Ng to do ""his own research"" on the Communist Party after the comedian behind the ""Uncle Roger"" persona apologised to Chinese fans and deleted a video collaboration over Chen's critical stance on Beijing.   ""I do hope that Nigel does his own research on the CCP, and sees for himself if my remarks on China are really 'incorrect.' Living in the UK grants him that basic freedom, something not afforded to the millions under CCP rule,"" Chen told HKFP.",1/14/2021 10:17
Amena Royal HKFP made up a fake persona of a local Hong Kong Rioter that was actually Westerner Brian Kern. 0 credibility. As with BBC. Fake news.,1/14/2021 11:57
Tom Choi  so mainland China news are reliable ? 🤣,1/14/2021 12:37
"Amena Royal Mainlaind Chinese only block news and they tell you upfront. They don't make up fake news and fake you into thinking its real like BBC. So yes, it is 100% more reliable than BBC 😂",1/14/2021 12:38
Tom Choi  i can’t stop laughing. Poor Chinese and their foolish believes in their own fragile country ,1/14/2021 12:40
"Amena Royal Nah, we are smarter than you. That's why you are here scared that China will take over you, talking crap, and trying to take it down 😂",1/14/2021 12:41
,
,
Now he hates not only bbc invited egg-fried-rice chef but also bbc news lol,1/14/2021 9:48
Qiuyi Wu but  what does it mean ?  No fried rice for you ? ,1/14/2021 9:51
Riguy Dyoll chill man,1/14/2021 9:53
,
,
