created_time,message
15/01/2021 06:14,I have know more words for this guy...
15/01/2021 05:42,Fuck him I will not wear on. Half the people I see wearing them are wearing wrong so to the stupid people out there wearing masks you do know that your nose has it be in the mask for it to work if you believe it does
15/01/2021 05:27,JUST THE START OF DICTATORSHIP BE READY AMERICA THE WORSE IS YET TO COME.
15/01/2021 01:41,Once again he can kiss my ass
14/01/2021 23:44,I live in a state where masks are mandated and its a fight every day to get customers to wear their masks when they come in the basic human instinct is to make our own decisions ppl can be told to do something but its up to them to actually do it I personally am over the lies and the bullshit welcome to 4 years of ridiculous crap
14/01/2021 22:42,If they can make national mandates about this it opens the door for national mandates on all of their agenda. 
14/01/2021 20:33,Mask deez nutz!
13/01/2021 21:32,"Yes folks!  This is the person, that the media pushed through,  the Democrats rigged an election for, and the courts said ,""nothing to see here"". It begins with masks, and the end,,,,,,nowhere to be seen. Forget the virus, this is way bigger than that.  He'll last 6 months, and get replaced.  Yup, 80 million people, supposedly, voted this nutjob in, along with you know who. ""Mask this"" #Not my President "
13/01/2021 21:17,He better consult the real leaders of the new word order his bosses and the people that now controll and bought our country SILICON VALLEY. Good job America only in name now.idiots.
13/01/2021 20:50,Good luck
13/01/2021 12:19,Fuck him
13/01/2021 12:16,both can  take a hike 
13/01/2021 12:14,Sleepy joe can shove that where the sun doesn’t shine
13/01/2021 11:40,????????????????????????
13/01/2021 10:09,He can wipe his ass with them
13/01/2021 10:00,Fuck you joe 
13/01/2021 07:26,Nope..... Keep big government out of state and local mandates
13/01/2021 03:19,No tnx
12/01/2021 22:25,Fuck biden
12/01/2021 21:29,I wear my mask when I go out but to mandate it were is our freedom 
12/01/2021 19:03,Eat shit you disgusting cheating lying baboon 
12/01/2021 18:45,Manchurian candidate racist
12/01/2021 16:11,Barf
12/01/2021 16:11,??????????????
12/01/2021 16:11,??????????????
12/01/2021 14:30,Put your mask on goin the basement were you belong 
12/01/2021 13:45,F this blithering idiot!!
12/01/2021 12:46,I DECIDE WHEN AND WHERE I WEAR A MASK. I DON'T NEED AN EMPTY HEADED CLOWN TELLING ME WHAT TO DO. FREEDOM OF CHOICE. 
12/01/2021 11:49,Is he going to buy the masks for us.
12/01/2021 11:39,I think a fellow wrestler schooled Dr. Fauci. Watch it.  https://youtu.be/oSCSWVrcCtA
12/01/2021 10:41,Umm your a fucking idiot
12/01/2021 09:43,I push to ban Biden in all 50 states and DC.
12/01/2021 09:31,I think a white male  is fucked
12/01/2021 09:25,Who is this Clown?
12/01/2021 09:22,"Not in your power, idiot."
12/01/2021 09:19,????
12/01/2021 09:19,????
12/01/2021 08:57,Fuck you dumb ass biden
12/01/2021 08:46,Not possible
12/01/2021 08:19,Wear 3 and sufficate
12/01/2021 07:57,If they've been wearing them in the states that have covid the worst then why is covid still so bad thete 3
12/01/2021 07:53,I see he got his second shot today SAD. 4 the rest of the U.S.
12/01/2021 07:43,Don’t forget to pok a hole in the mouth area when designing a new mask to insert a straw so food can suck in... restaurant will have new menu called protein meat smoothies
12/01/2021 07:35,Fuck you biden
12/01/2021 07:21,"Your  defunded the police  How you going to  enforce  that when you chouldnt  stop  a few peaceful  protesters  from taking over the  Capitol,  and even  that police  didn't  want to harm there brothers, for your  sorry ass,"
12/01/2021 06:57,"What part of I WILL NOT COMPLY dont you get? Not wearing the shit, not for anyone....notta, you better lay the fuck off this subject"
12/01/2021 06:56,Slimy joe stick them mask up your ass I will not wear it you or nobody else will make me mf
12/01/2021 06:35,Take that mask and stick it up your ass
12/01/2021 06:31,Good Luck in enforcing it. We still r America. Freedom of choice.
12/01/2021 06:02,He is a fucking moron just like the rest of them. Devil worshipers
12/01/2021 05:13,Deport him
12/01/2021 05:03,I won't abide by any of his rules
12/01/2021 04:12,I want to push for only Republicans in all 50 states.
12/01/2021 04:09,Absolutely this bs is the communist party playbook
12/01/2021 03:37,kiss my mask ass
12/01/2021 03:16,It’s just about CONTROL!!!
12/01/2021 03:14,Good!
